Model,Accuracy,Precision,Recall,F1 Score
Random Forest (Baseline),0.8617957746478874,0.6666666666666666,0.012658227848101266,0.024844720496894408
Random Forest (Tuned),0.8617957746478874,0.6666666666666666,0.012658227848101266,0.024844720496894408
Gradient Boosting (Baseline),0.8697183098591549,0.7083333333333334,0.10759493670886076,0.18681318681318682
Gradient Boosting (Tuned),0.8661971830985915,0.8,0.05063291139240506,0.09523809523809523
