Model,Accuracy,Precision,Recall,F1 Score
Gradient Boosting,0.8697183098591549,0.7083333333333334,0.10759493670886076,0.18681318681318682
Gradient Boosting (Tuned),0.8661971830985915,0.8,0.05063291139240506,0.09523809523809523
Logistic Regression,0.8617957746478874,0.5151515151515151,0.10759493670886076,0.17801047120418848
Random Forest,0.8617957746478874,0.6666666666666666,0.012658227848101266,0.024844720496894408
Random Forest (Tuned),0.8617957746478874,0.6666666666666666,0.012658227848101266,0.024844720496894408
K-Nearest Neighbors,0.846830985915493,0.2894736842105263,0.06962025316455696,0.11224489795918367
Decision Tree,0.8415492957746479,0.3854166666666667,0.23417721518987342,0.29133858267716534
