,Mean,Median,Mode,Std Dev,Variance,Minimum,Maximum,Skewness,Kurtosis
company_size_before,6165.291402396054,650.0,1000.0,39751.81741152143,1580206987.518938,0.0,1400000.0,16.72922962879756,388.79382681580154
company_size_after,3873.0063424947148,400.0,0.0,31311.46449299347,980407808.6959908,0.0,600000.0,16.3659963690298,290.37901096474434
total_laid_off,333.3629316420014,95.0,100.0,1212.7872895752319,1470853.009755237,0.0,30000.0,10.46822861727469,150.88382856931236
percentage_laid_off,26.1263830162086,17.0,17.0,27.080153278944643,733.3347016111362,0.0,100.0,1.9234144162607578,2.5592518537942204
funds_raised_mil,843.483650458069,173.0,173.0,5111.412861966901,26126541.445480667,0.0,121900.0,19.468814667648743,444.1889531202266
year,2022.7811839323467,2023.0,2022.0,1.5481824184186328,2.3968688007005667,2020.0,2026.0,-0.02904202229158481,-0.26401167609924414
quarter,2.386011275546159,2.0,2.0,1.0834151660723341,1.1737884220755432,1.0,4.0,0.18055371257728775,-1.2452128370364635
days_to_report,9.155214940098661,1.0,0.0,49.307611721524374,2431.240573680608,0.0,1292.0,13.707215316592757,254.80343960185155
