Feature,Mean_Absolute_SHAP
cat__record_id_layoff_05475,0.0
cat__record_id_layoff_new_0006,0.0
cat__record_id_layoff_new_0005,0.0
cat__record_id_layoff_new_0004,0.0
cat__record_id_layoff_new_0003,0.0
cat__record_id_layoff_new_0002,0.0
cat__record_id_layoff_new_0001,0.0
cat__record_id_layoff_05660,0.0
cat__record_id_layoff_05658,0.0
cat__record_id_layoff_05656,0.0
cat__record_id_layoff_05654,0.0
cat__record_id_layoff_05653,0.0
cat__record_id_layoff_05651,0.0
cat__record_id_layoff_new_0007,0.0
cat__city_Baton Rouge,0.0
cat__city_Barcelona,0.0
cat__city_Bangkok,0.0
cat__city_Baltimore,0.0
cat__city_BRNO,0.0
cat__city_BRISBANE,0.0
cat__city_BOSTON,0.0
cat__city_BERLIN,0.0
cat__city_BERKELEY,0.0
cat__city_BENGALURU,0.0
cat__city_BELLEVUE,0.0
cat__city_BEIJING,0.0
cat__city_Abuja,0.0
cat__city_Austin,0.0
cat__city_Auckland,0.0
cat__city_Atlanta,0.0
cat__city_Ann Arbor,0.0
cat__city_Amsterdam,0.0
"cat__city_Alpharetta, GA",0.0
cat__city_Albany,0.0
"cat__city_Alameda, CA",0.0
cat__city_Alameda,0.0
cat__city_Ahmedabad,0.0
cat__city_Agoura Hills,0.0
cat__city_Accra,0.0
"cat__city_Austin, TX",0.0
cat__record_id_layoff_05616,0.0
cat__record_id_layoff_05614,0.0
cat__record_id_layoff_05613,0.0
cat__record_id_layoff_05612,0.0
cat__record_id_layoff_05611,0.0
cat__record_id_layoff_05610,0.0
cat__record_id_layoff_05609,0.0
cat__record_id_layoff_05608,0.0
cat__record_id_layoff_05607,0.0
cat__record_id_layoff_05606,0.0
cat__record_id_layoff_05605,0.0
cat__record_id_layoff_05649,0.0
cat__record_id_layoff_05602,0.0
cat__record_id_layoff_05601,0.0
cat__record_id_layoff_05600,0.0
cat__record_id_layoff_05599,0.0
cat__record_id_layoff_05598,0.0
cat__record_id_layoff_05597,0.0
cat__record_id_layoff_05596,0.0
cat__record_id_layoff_05595,0.0
cat__record_id_layoff_05594,0.0
cat__record_id_layoff_05593,0.0
cat__record_id_layoff_05592,0.0
cat__record_id_layoff_05591,0.0
cat__record_id_layoff_05603,0.0
cat__record_id_layoff_05648,0.0
cat__record_id_layoff_05647,0.0
cat__record_id_layoff_05644,0.0
cat__record_id_layoff_05643,0.0
cat__record_id_layoff_05641,0.0
cat__record_id_layoff_05640,0.0
cat__record_id_layoff_05639,0.0
cat__record_id_layoff_05638,0.0
cat__record_id_layoff_05637,0.0
cat__record_id_layoff_05636,0.0
cat__record_id_layoff_05635,0.0
cat__record_id_layoff_05634,0.0
cat__record_id_layoff_05617,0.0
cat__record_id_layoff_05632,0.0
cat__record_id_layoff_05631,0.0
cat__record_id_layoff_05630,0.0
cat__record_id_layoff_05629,0.0
cat__record_id_layoff_05628,0.0
cat__record_id_layoff_05627,0.0
cat__record_id_layoff_05626,0.0
cat__record_id_layoff_05625,0.0
cat__record_id_layoff_05624,0.0
cat__record_id_layoff_05622,0.0
cat__record_id_layoff_05620,0.0
cat__record_id_layoff_05618,0.0
cat__record_id_layoff_05633,0.0
cat__record_id_layoff_05307,0.0
cat__record_id_layoff_05306,0.0
cat__record_id_layoff_05305,0.0
cat__record_id_layoff_05304,0.0
cat__record_id_layoff_05303,0.0
cat__record_id_layoff_05302,0.0
cat__record_id_layoff_05301,0.0
cat__record_id_layoff_05299,0.0
cat__record_id_layoff_05298,0.0
cat__record_id_layoff_05297,0.0
cat__record_id_layoff_05296,0.0
cat__record_id_layoff_05467,0.0
cat__record_id_layoff_05294,0.0
cat__record_id_layoff_05292,0.0
cat__record_id_layoff_05291,0.0
cat__record_id_layoff_05290,0.0
cat__record_id_layoff_05288,0.0
cat__record_id_layoff_05287,0.0
cat__record_id_layoff_05285,0.0
cat__record_id_layoff_05284,0.0
cat__record_id_layoff_05282,0.0
cat__record_id_layoff_05279,0.0
cat__record_id_layoff_05278,0.0
cat__record_id_layoff_05277,0.0
cat__record_id_layoff_05295,0.0
cat__record_id_layoff_05339,0.0
cat__record_id_layoff_05338,0.0
cat__record_id_layoff_05337,0.0
cat__record_id_layoff_05336,0.0
cat__record_id_layoff_05335,0.0
cat__record_id_layoff_05334,0.0
cat__record_id_layoff_05333,0.0
cat__record_id_layoff_05332,0.0
cat__record_id_layoff_05330,0.0
cat__record_id_layoff_05329,0.0
cat__record_id_layoff_05328,0.0
cat__record_id_layoff_05327,0.0
cat__record_id_layoff_05308,0.0
cat__record_id_layoff_05325,0.0
cat__record_id_layoff_05323,0.0
cat__record_id_layoff_05322,0.0
cat__record_id_layoff_05321,0.0
cat__record_id_layoff_05320,0.0
cat__record_id_layoff_05319,0.0
cat__record_id_layoff_05317,0.0
cat__record_id_layoff_05316,0.0
cat__record_id_layoff_05315,0.0
cat__record_id_layoff_05313,0.0
cat__record_id_layoff_05311,0.0
cat__record_id_layoff_05309,0.0
cat__record_id_layoff_05326,0.0
cat__record_id_layoff_05245,0.0
cat__record_id_layoff_05244,0.0
cat__record_id_layoff_05243,0.0
cat__record_id_layoff_05242,0.0
cat__record_id_layoff_05241,0.0
cat__record_id_layoff_05240,0.0
cat__record_id_layoff_05237,0.0
cat__record_id_layoff_05236,0.0
cat__record_id_layoff_05235,0.0
